id,modulo,semana,tema,subtema,nivel,tipo_pregunta,pregunta,opcion_a,opcion_b,opcion_c,opcion_d,opcion_e,respuesta_correcta,respuesta_texto,explicacion,fuente_base,fuente_url,tags
641,Diseño y Desarrollo de Aplicaciones Móviles,4,JSON Parsing,Gson,Básico,Relación,¿Qué concepto se define como: «Gson»?,OkHttp,Método del ciclo de vida donde normalmente se inicializa la Activity y se carga el layout.,Cliente HTTP usado como base para realizar solicitudes de red en Android.,Retrofit,Librería para serializar y deserializar objetos Java/Kotlin desde y hacia JSON.,E,Librería para serializar y deserializar objetos Java/Kotlin desde y hacia JSON.,La definición corresponde a Librería para serializar y deserializar objetos Java/Kotlin desde y hacia JSON..,PIAD-525_CONTENIDO.pdf,https://developer.android.com/,"json,android"
642,Diseño y Desarrollo de Aplicaciones Móviles,4,JSON Parsing,Gson,Avanzado,Reconocimiento,"En el tema de JSON Parsing, ¿cuál es la opción correcta para: gson?",Función usada para leer valores analógicos desde un pin compatible.,"Técnicas para manipular, filtrar, transformar o analizar imágenes digitales.",Librería para serializar y deserializar objetos Java/Kotlin desde y hacia JSON.,Room,OkHttp,C,Librería para serializar y deserializar objetos Java/Kotlin desde y hacia JSON.,"En JSON Parsing, el concepto correcto es Librería para serializar y deserializar objetos Java/Kotlin desde y hacia JSON..",PIAD-525_CONTENIDO.pdf,https://developer.android.com/,"json,android"
643,Diseño y Desarrollo de Aplicaciones Móviles,4,JSON Parsing,Gson,Básico,Definición,"Complete la frase: En JSON Parsing, ______ se relaciona con gson",OkHttp,Retrofit,Librería para serializar y deserializar objetos Java/Kotlin desde y hacia JSON.,Procesador gráfico usado para acelerar cálculos paralelos en entrenamiento de redes neuronales.,Room,C,Librería para serializar y deserializar objetos Java/Kotlin desde y hacia JSON.,La palabra que completa la frase es Librería para serializar y deserializar objetos Java/Kotlin desde y hacia JSON..,PIAD-525_CONTENIDO.pdf,https://developer.android.com/,"json,android"
644,Diseño y Desarrollo de Aplicaciones Móviles,4,JSON Parsing,Gson,Básico,Aplicación,¿Cuál de las siguientes opciones pertenece directamente al tema «JSON Parsing» y cumple esta función: gson?,Librería para serializar y deserializar objetos Java/Kotlin desde y hacia JSON.,Moshi,Retrofit,Bloque de un notebook que ejecuta instrucciones de programación.,Protocolo de red de largo alcance y bajo consumo usado en soluciones IoT.,A,Librería para serializar y deserializar objetos Java/Kotlin desde y hacia JSON.,Librería para serializar y deserializar objetos Java/Kotlin desde y hacia JSON. cumple esa función dentro de JSON Parsing.,PIAD-525_CONTENIDO.pdf,https://developer.android.com/,"json,android"
645,Diseño y Desarrollo de Aplicaciones Móviles,4,JSON Parsing,Gson,Básico,Definición,"Si en un examen preguntan por gson, ¿qué alternativa debes marcar?",Función intermedia que procesa solicitudes y respuestas en Express antes de llegar al controlador final.,Librería para serializar y deserializar objetos Java/Kotlin desde y hacia JSON.,Room,Retrofit,Ejecución de predicciones del modelo directamente dentro del navegador del usuario.,B,Librería para serializar y deserializar objetos Java/Kotlin desde y hacia JSON.,La alternativa correcta es Librería para serializar y deserializar objetos Java/Kotlin desde y hacia JSON..,PIAD-525_CONTENIDO.pdf,https://developer.android.com/,"json,android"
646,Diseño y Desarrollo de Aplicaciones Móviles,4,JSON Parsing,Gson,Intermedio,Reconocimiento,¿Qué término técnico se asocia mejor con la siguiente idea: gson?,SQLite,Base de datos relacional ligera embebida en Android para almacenamiento local.,Retrofit,Espacio donde se almacena el historial y archivos de un proyecto controlado por Git.,Librería para serializar y deserializar objetos Java/Kotlin desde y hacia JSON.,E,Librería para serializar y deserializar objetos Java/Kotlin desde y hacia JSON.,El término técnico asociado es Librería para serializar y deserializar objetos Java/Kotlin desde y hacia JSON..,PIAD-525_CONTENIDO.pdf,https://developer.android.com/,"json,android"
647,Diseño y Desarrollo de Aplicaciones Móviles,4,JSON Parsing,Gson,Intermedio,Aplicación,"En el módulo «Diseño y Desarrollo de Aplicaciones Móviles», ¿qué elemento se usa para gson?",SQLite,Librería para serializar y deserializar objetos Java/Kotlin desde y hacia JSON.,"Red de objetos físicos conectados que capturan, envían o reciben datos mediante sensores, actuadores y redes.",Formato usado frecuentemente para guardar modelos Keras en entornos Python.,Función usada para leer valores analógicos desde un pin compatible.,B,Librería para serializar y deserializar objetos Java/Kotlin desde y hacia JSON.,"Según el contenido del módulo, corresponde a Librería para serializar y deserializar objetos Java/Kotlin desde y hacia JSON..",PIAD-525_CONTENIDO.pdf,https://developer.android.com/,"json,android"
648,Diseño y Desarrollo de Aplicaciones Móviles,4,JSON Parsing,Gson,Intermedio,Completar,¿Cuál es la respuesta correcta si se busca identificar: gson?,"Relación entre voltaje, corriente y resistencia: V = I × R.",Librería para serializar y deserializar objetos Java/Kotlin desde y hacia JSON.,OkHttp,Moshi,"Herramienta de programación visual basada en flujos para conectar dispositivos, APIs y servicios.",B,Librería para serializar y deserializar objetos Java/Kotlin desde y hacia JSON.,La respuesta correcta es Librería para serializar y deserializar objetos Java/Kotlin desde y hacia JSON..,PIAD-525_CONTENIDO.pdf,https://developer.android.com/,"json,android"
649,Diseño y Desarrollo de Aplicaciones Móviles,4,JSON Parsing,Gson,Intermedio,Aplicación,Marca la alternativa que mejor representa el concepto de Librería para serializar y deserializar objetos Java/Kotlin desde y hacia JSON..,Librería para serializar y deserializar objetos Java/Kotlin desde y hacia JSON.,Librería usada para validar esquemas de datos y formularios.,SQLite,Ataque que inyecta scripts maliciosos en páginas vistas por otros usuarios.,Lenguaje usado para lógica e interactividad en aplicaciones web y para usar TensorFlow.js.,A,Librería para serializar y deserializar objetos Java/Kotlin desde y hacia JSON.,Librería para serializar y deserializar objetos Java/Kotlin desde y hacia JSON.: Gson,PIAD-525_CONTENIDO.pdf,https://developer.android.com/,"json,android"
650,Diseño y Desarrollo de Aplicaciones Móviles,4,JSON Parsing,Gson,Intermedio,Completar,¿Cuál opción NO debe confundirse con otros términos cuando la pregunta describe: gson?,Lenguaje de marcado usado para estructurar la interfaz de una aplicación web.,SQLite,Pantalla de caracteres con 16 columnas y 2 filas usada para mostrar información.,Moshi,Librería para serializar y deserializar objetos Java/Kotlin desde y hacia JSON.,E,Librería para serializar y deserializar objetos Java/Kotlin desde y hacia JSON.,No debe confundirse: la descripción apunta a Librería para serializar y deserializar objetos Java/Kotlin desde y hacia JSON..,PIAD-525_CONTENIDO.pdf,https://developer.android.com/,"json,android"
651,Diseño y Desarrollo de Aplicaciones Móviles,4,JSON Parsing,Gson,Básico,Relación,"En una evaluación tipo Senati, si aparece la descripción «Gson», la respuesta esperada sería:",Bucle usado para repetir instrucciones un número definido de veces.,Plataforma de hardware libre usada para crear prototipos electrónicos con microcontroladores.,Componente de Android que representa una pantalla con la que el usuario interactúa.,Librería para serializar y deserializar objetos Java/Kotlin desde y hacia JSON.,SQLite,D,Librería para serializar y deserializar objetos Java/Kotlin desde y hacia JSON.,"Para esa descripción, se debe marcar Librería para serializar y deserializar objetos Java/Kotlin desde y hacia JSON..",PIAD-525_CONTENIDO.pdf,https://developer.android.com/,"json,android"
652,Diseño y Desarrollo de Aplicaciones Móviles,4,JSON Parsing,Gson,Básico,Definición,¿Qué concepto es clave en JSON Parsing porque permite/representa lo siguiente: gson?,Librería para serializar y deserializar objetos Java/Kotlin desde y hacia JSON.,SQLite,Archivo con instrucciones para construir una imagen Docker.,Retrofit,OkHttp,A,Librería para serializar y deserializar objetos Java/Kotlin desde y hacia JSON.,El concepto clave es Librería para serializar y deserializar objetos Java/Kotlin desde y hacia JSON..,PIAD-525_CONTENIDO.pdf,https://developer.android.com/,"json,android"
653,Diseño y Desarrollo de Aplicaciones Móviles,4,JSON Parsing,Gson,Básico,Reconocimiento,Relaciona el concepto con su función: Gson,OkHttp,Librería para serializar y deserializar objetos Java/Kotlin desde y hacia JSON.,"Herramienta de programación visual basada en flujos para conectar dispositivos, APIs y servicios.",SQLite,Sistema de automatización de compilación usado en proyectos Android para dependencias y builds.,B,Librería para serializar y deserializar objetos Java/Kotlin desde y hacia JSON.,La relación correcta es con Librería para serializar y deserializar objetos Java/Kotlin desde y hacia JSON..,PIAD-525_CONTENIDO.pdf,https://developer.android.com/,"json,android"
654,Diseño y Desarrollo de Aplicaciones Móviles,4,JSON Parsing,Gson,Básico,Relación,¿Qué alternativa describe correctamente un elemento de JSON Parsing: gson?,Moshi,SQLite,Librería para serializar y deserializar objetos Java/Kotlin desde y hacia JSON.,"Framework de machine learning usado para construir, entrenar y desplegar modelos.",Protocolo de red de largo alcance y bajo consumo usado en soluciones IoT.,C,Librería para serializar y deserializar objetos Java/Kotlin desde y hacia JSON.,Esa descripción corresponde a Librería para serializar y deserializar objetos Java/Kotlin desde y hacia JSON..,PIAD-525_CONTENIDO.pdf,https://developer.android.com/,"json,android"
655,Diseño y Desarrollo de Aplicaciones Móviles,4,JSON Parsing,Gson,Básico,Aplicación,Selecciona la opción que completa correctamente: «Librería para serializar y deserializar objetos Java/Kotlin desde y hacia JSON. es...»,Operación CRUD que elimina datos existentes.,Retrofit,Cliente HTTP usado como base para realizar solicitudes de red en Android.,SQLite,Librería para serializar y deserializar objetos Java/Kotlin desde y hacia JSON.,E,Librería para serializar y deserializar objetos Java/Kotlin desde y hacia JSON.,Librería para serializar y deserializar objetos Java/Kotlin desde y hacia JSON. se define como: Gson,PIAD-525_CONTENIDO.pdf,https://developer.android.com/,"json,android"
656,Diseño y Desarrollo de Aplicaciones Móviles,4,JSON Parsing,Gson,Avanzado,Relación,¿Cuál de estos términos sería más probable como respuesta en una pregunta sobre JSON Parsing?,Token firmado usado para autenticación y autorización en aplicaciones web y APIs.,Versión optimizada de TensorFlow para ejecutar modelos en dispositivos móviles o embebidos.,Función de Arduino que se ejecuta una sola vez al iniciar el programa.,Moshi,Librería para serializar y deserializar objetos Java/Kotlin desde y hacia JSON.,E,Librería para serializar y deserializar objetos Java/Kotlin desde y hacia JSON.,"El término más probable es Librería para serializar y deserializar objetos Java/Kotlin desde y hacia JSON., porque gson",PIAD-525_CONTENIDO.pdf,https://developer.android.com/,"json,android"
657,Diseño y Desarrollo de Aplicaciones Móviles,4,JSON Parsing,Gson,Básico,Definición,"Si estás resolviendo un test de opción múltiple y la pista es «Gson», ¿cuál eliges?",Operación CRUD que elimina datos existentes.,Room,Moshi,Método usado para generar predicciones con un modelo entrenado.,Librería para serializar y deserializar objetos Java/Kotlin desde y hacia JSON.,E,Librería para serializar y deserializar objetos Java/Kotlin desde y hacia JSON.,La pista apunta a Librería para serializar y deserializar objetos Java/Kotlin desde y hacia JSON..,PIAD-525_CONTENIDO.pdf,https://developer.android.com/,"json,android"
658,Diseño y Desarrollo de Aplicaciones Móviles,4,JSON Parsing,Gson,Intermedio,Relación,"¿Qué herramienta, método o concepto corresponde a esta descripción técnica: gson?",OkHttp,Registro de cambios guardado en el historial de Git.,Archivo JSON que describe la arquitectura y referencias de pesos de un modelo TensorFlow.js.,Librería para serializar y deserializar objetos Java/Kotlin desde y hacia JSON.,Moshi,D,Librería para serializar y deserializar objetos Java/Kotlin desde y hacia JSON.,Corresponde a Librería para serializar y deserializar objetos Java/Kotlin desde y hacia JSON..,PIAD-525_CONTENIDO.pdf,https://developer.android.com/,"json,android"
659,Diseño y Desarrollo de Aplicaciones Móviles,4,JSON Parsing,Gson,Básico,Definición,"Pregunta de repaso: dentro de JSON Parsing, ¿qué alternativa corresponde a «gson»?",Sintaxis que permite escribir estructuras similares a HTML dentro de JavaScript en React.,OkHttp,Plataforma en la nube para alojar repositorios Git y colaborar en proyectos.,Error cuadrático medio que mide la desviación cuadrática promedio entre predicciones y valores reales.,Librería para serializar y deserializar objetos Java/Kotlin desde y hacia JSON.,E,Librería para serializar y deserializar objetos Java/Kotlin desde y hacia JSON.,Corresponde a Librería para serializar y deserializar objetos Java/Kotlin desde y hacia JSON.: Gson,PIAD-525_CONTENIDO.pdf,https://developer.android.com/,"json,android"
660,Diseño y Desarrollo de Aplicaciones Móviles,4,JSON Parsing,Gson,Avanzado,Completar,"Pregunta de repaso: dentro de JSON Parsing, ¿qué alternativa corresponde a «gson»? (Tema: JSON Parsing)",Base de datos relacional ligera embebida en Android para almacenamiento local.,SQLite,OkHttp,Comando que trae cambios del repositorio remoto y los integra localmente.,Librería para serializar y deserializar objetos Java/Kotlin desde y hacia JSON.,E,Librería para serializar y deserializar objetos Java/Kotlin desde y hacia JSON.,Corresponde a Librería para serializar y deserializar objetos Java/Kotlin desde y hacia JSON.: Gson,PIAD-525_CONTENIDO.pdf,https://developer.android.com/,"json,android"
661,Diseño y Desarrollo de Aplicaciones Móviles,4,JSON Parsing,JSON,Básico,Aplicación,¿Qué concepto se define como: «JSON»?,XML,YAML,Librería para serializar y deserializar objetos Java/Kotlin desde y hacia JSON.,CSV,Formato ligero de intercambio de datos común en APIs REST.,E,Formato ligero de intercambio de datos común en APIs REST.,La definición corresponde a Formato ligero de intercambio de datos común en APIs REST..,PIAD-525_CONTENIDO.pdf,https://www.tensorflow.org/js,"json,api"
662,Diseño y Desarrollo de Aplicaciones Móviles,4,JSON Parsing,JSON,Básico,Completar,"En el tema de JSON Parsing, ¿cuál es la opción correcta para: json?",Formato ligero de intercambio de datos común en APIs REST.,YAML,XML,"Framework web ligero para crear servidores, rutas y APIs con Node.js.",Placa de pruebas que permite montar circuitos sin soldadura.,A,Formato ligero de intercambio de datos común en APIs REST.,"En JSON Parsing, el concepto correcto es Formato ligero de intercambio de datos común en APIs REST..",PIAD-525_CONTENIDO.pdf,https://www.tensorflow.org/js,"json,api"
663,Diseño y Desarrollo de Aplicaciones Móviles,4,JSON Parsing,JSON,Intermedio,Reconocimiento,"Complete la frase: En JSON Parsing, ______ se relaciona con json",ORM para Node.js que permite trabajar con bases de datos relacionales mediante modelos.,YAML,"Red de objetos físicos conectados que capturan, envían o reciben datos mediante sensores, actuadores y redes.",Formato ligero de intercambio de datos común en APIs REST.,XML,D,Formato ligero de intercambio de datos común en APIs REST.,La palabra que completa la frase es Formato ligero de intercambio de datos común en APIs REST..,PIAD-525_CONTENIDO.pdf,https://www.tensorflow.org/js,"json,api"
664,Diseño y Desarrollo de Aplicaciones Móviles,4,JSON Parsing,JSON,Intermedio,Aplicación,¿Cuál de las siguientes opciones pertenece directamente al tema «JSON Parsing» y cumple esta función: json?,Protocolo que permite direccionar y enrutar paquetes entre redes.,Operación CRUD que elimina datos existentes.,Gradle,Formato ligero de intercambio de datos común en APIs REST.,"Computadora de placa reducida usada en proyectos IoT, redes y edge computing.",D,Formato ligero de intercambio de datos común en APIs REST.,Formato ligero de intercambio de datos común en APIs REST. cumple esa función dentro de JSON Parsing.,PIAD-525_CONTENIDO.pdf,https://www.tensorflow.org/js,"json,api"
665,Diseño y Desarrollo de Aplicaciones Móviles,4,JSON Parsing,JSON,Intermedio,Relación,"Si en un examen preguntan por json, ¿qué alternativa debes marcar?",Método HTTP usado para crear o enviar nuevos datos al servidor.,Formato ligero de intercambio de datos común en APIs REST.,YAML,Mensaje temporal en la parte inferior que puede incluir una acción para el usuario.,Método HTTP usado para reemplazar o actualizar un recurso completo.,B,Formato ligero de intercambio de datos común en APIs REST.,La alternativa correcta es Formato ligero de intercambio de datos común en APIs REST..,PIAD-525_CONTENIDO.pdf,https://www.tensorflow.org/js,"json,api"
666,Diseño y Desarrollo de Aplicaciones Móviles,4,JSON Parsing,JSON,Básico,Relación,¿Qué término técnico se asocia mejor con la siguiente idea: json?,"Lenguaje de marcado usado en Android para definir layouts, vistas y recursos de interfaz.",Ejecución de modelos de machine learning en microcontroladores y dispositivos de muy bajo consumo.,Espacio donde se almacena el historial y archivos de un proyecto controlado por Git.,Capa completamente conectada usada comúnmente en redes neuronales.,Formato ligero de intercambio de datos común en APIs REST.,E,Formato ligero de intercambio de datos común en APIs REST.,El término técnico asociado es Formato ligero de intercambio de datos común en APIs REST..,PIAD-525_CONTENIDO.pdf,https://www.tensorflow.org/js,"json,api"
667,Diseño y Desarrollo de Aplicaciones Móviles,4,JSON Parsing,JSON,Básico,Definición,"En el módulo «Diseño y Desarrollo de Aplicaciones Móviles», ¿qué elemento se usa para json?","Red de objetos físicos conectados que capturan, envían o reciben datos mediante sensores, actuadores y redes.",YAML,Formato ligero de intercambio de datos común en APIs REST.,Gradle,Archivo que suele contener etiquetas y metadatos de un modelo exportado desde Teachable Machine.,C,Formato ligero de intercambio de datos común en APIs REST.,"Según el contenido del módulo, corresponde a Formato ligero de intercambio de datos común en APIs REST..",PIAD-525_CONTENIDO.pdf,https://www.tensorflow.org/js,"json,api"
668,Diseño y Desarrollo de Aplicaciones Móviles,4,JSON Parsing,JSON,Intermedio,Aplicación,¿Cuál es la respuesta correcta si se busca identificar: json?,Modelo intermedio que extiende la nube hacia la red local para procesar datos cerca del borde.,YAML,Formato ligero de intercambio de datos común en APIs REST.,Bloque de un notebook que ejecuta instrucciones de programación.,Estructura condicional que ejecuta instrucciones cuando una condición es verdadera.,C,Formato ligero de intercambio de datos común en APIs REST.,La respuesta correcta es Formato ligero de intercambio de datos común en APIs REST..,PIAD-525_CONTENIDO.pdf,https://www.tensorflow.org/js,"json,api"
669,Diseño y Desarrollo de Aplicaciones Móviles,4,JSON Parsing,JSON,Básico,Definición,Marca la alternativa que mejor representa el concepto de Formato ligero de intercambio de datos común en APIs REST..,Función de Arduino que se ejecuta repetidamente después de setup().,"Elemento usado para reportar tareas, errores o mejoras en un proyecto colaborativo.",Cantidad de corriente eléctrica que circula por un circuito.,Formato ligero de intercambio de datos común en APIs REST.,XML,D,Formato ligero de intercambio de datos común en APIs REST.,Formato ligero de intercambio de datos común en APIs REST.: JSON,PIAD-525_CONTENIDO.pdf,https://www.tensorflow.org/js,"json,api"
670,Diseño y Desarrollo de Aplicaciones Móviles,4,JSON Parsing,JSON,Básico,Aplicación,¿Cuál opción NO debe confundirse con otros términos cuando la pregunta describe: json?,Método usado para medir el rendimiento del modelo en datos de prueba o validación.,XML,Formato ligero de intercambio de datos común en APIs REST.,Sistema de control de versiones distribuido para registrar cambios en archivos y código.,CSV,C,Formato ligero de intercambio de datos común en APIs REST.,No debe confundirse: la descripción apunta a Formato ligero de intercambio de datos común en APIs REST..,PIAD-525_CONTENIDO.pdf,https://www.tensorflow.org/js,"json,api"
671,Diseño y Desarrollo de Aplicaciones Móviles,4,JSON Parsing,JSON,Básico,Definición,"En una evaluación tipo Senati, si aparece la descripción «JSON», la respuesta esperada sería:",CSV,Formato ligero de intercambio de datos común en APIs REST.,Evento que se dispara cuando el usuario pulsa una vista o botón.,"Red de objetos físicos conectados que capturan, envían o reciben datos mediante sensores, actuadores y redes.","Conjunto de operaciones Create, Read, Update y Delete sobre datos.",B,Formato ligero de intercambio de datos común en APIs REST.,"Para esa descripción, se debe marcar Formato ligero de intercambio de datos común en APIs REST..",PIAD-525_CONTENIDO.pdf,https://www.tensorflow.org/js,"json,api"
672,Diseño y Desarrollo de Aplicaciones Móviles,4,JSON Parsing,JSON,Intermedio,Reconocimiento,¿Qué concepto es clave en JSON Parsing porque permite/representa lo siguiente: json?,YAML,Ejecución de modelos de machine learning en microcontroladores y dispositivos de muy bajo consumo.,Formato ligero de intercambio de datos común en APIs REST.,Entorno de notebooks en la nube para escribir y ejecutar Python colaborativamente.,Librería de Python para manipulación y análisis de datos con estructuras como DataFrame.,C,Formato ligero de intercambio de datos común en APIs REST.,El concepto clave es Formato ligero de intercambio de datos común en APIs REST..,PIAD-525_CONTENIDO.pdf,https://www.tensorflow.org/js,"json,api"
673,Diseño y Desarrollo de Aplicaciones Móviles,4,JSON Parsing,JSON,Básico,Reconocimiento,Relaciona el concepto con su función: JSON,Dispositivo que ejecuta una acción física a partir de una señal de control.,Formato ligero de intercambio de datos común en APIs REST.,Procesador general usado para ejecutar tareas de cómputo secuencial o general.,Operación CRUD que elimina datos existentes.,CSV,B,Formato ligero de intercambio de datos común en APIs REST.,La relación correcta es con Formato ligero de intercambio de datos común en APIs REST..,PIAD-525_CONTENIDO.pdf,https://www.tensorflow.org/js,"json,api"
674,Diseño y Desarrollo de Aplicaciones Móviles,4,JSON Parsing,JSON,Básico,Aplicación,¿Qué alternativa describe correctamente un elemento de JSON Parsing: json?,YAML,Formato ligero de intercambio de datos común en APIs REST.,Protocolo de servicios web basado en XML y reglas estrictas de mensajería.,Parte reutilizable de la interfaz o comportamiento dentro de una Activity.,APK,B,Formato ligero de intercambio de datos común en APIs REST.,Esa descripción corresponde a Formato ligero de intercambio de datos común en APIs REST..,PIAD-525_CONTENIDO.pdf,https://www.tensorflow.org/js,"json,api"
675,Diseño y Desarrollo de Aplicaciones Móviles,4,JSON Parsing,JSON,Intermedio,Definición,Selecciona la opción que completa correctamente: «Formato ligero de intercambio de datos común en APIs REST. es...»,"Computadora de placa reducida usada en proyectos IoT, redes y edge computing.",Bloque de un notebook usado para escribir explicaciones en Markdown.,XML,APK,Formato ligero de intercambio de datos común en APIs REST.,E,Formato ligero de intercambio de datos común en APIs REST.,Formato ligero de intercambio de datos común en APIs REST. se define como: JSON,PIAD-525_CONTENIDO.pdf,https://www.tensorflow.org/js,"json,api"
676,Diseño y Desarrollo de Aplicaciones Móviles,4,JSON Parsing,JSON,Intermedio,Aplicación,¿Cuál de estos términos sería más probable como respuesta en una pregunta sobre JSON Parsing?,Bloque de un notebook que ejecuta instrucciones de programación.,Unidad aislada y portable que ejecuta una aplicación con sus dependencias.,Formato ligero de intercambio de datos común en APIs REST.,Procesamiento de datos cerca del dispositivo o fuente de datos para reducir latencia y dependencia de la nube.,Protocolo que permite direccionar y enrutar paquetes entre redes.,C,Formato ligero de intercambio de datos común en APIs REST.,"El término más probable es Formato ligero de intercambio de datos común en APIs REST., porque json",PIAD-525_CONTENIDO.pdf,https://www.tensorflow.org/js,"json,api"
677,Diseño y Desarrollo de Aplicaciones Móviles,4,JSON Parsing,JSON,Básico,Relación,"Si estás resolviendo un test de opción múltiple y la pista es «JSON», ¿cuál eliges?",Token firmado usado para autenticación y autorización en aplicaciones web y APIs.,CSV,YAML,Formato ligero de intercambio de datos común en APIs REST.,Comando que trae cambios del repositorio remoto y los integra localmente.,D,Formato ligero de intercambio de datos común en APIs REST.,La pista apunta a Formato ligero de intercambio de datos común en APIs REST..,PIAD-525_CONTENIDO.pdf,https://www.tensorflow.org/js,"json,api"
678,Diseño y Desarrollo de Aplicaciones Móviles,4,JSON Parsing,JSON,Básico,Definición,"¿Qué herramienta, método o concepto corresponde a esta descripción técnica: json?",XML,Diferencia de potencial eléctrico que impulsa la corriente en un circuito.,Librería que permite ejecutar modelos de machine learning en JavaScript y navegador.,Formato ligero de intercambio de datos común en APIs REST.,Técnica que reaplica commits sobre otra base para mantener un historial más lineal.,D,Formato ligero de intercambio de datos común en APIs REST.,Corresponde a Formato ligero de intercambio de datos común en APIs REST..,PIAD-525_CONTENIDO.pdf,https://www.tensorflow.org/js,"json,api"
679,Diseño y Desarrollo de Aplicaciones Móviles,4,JSON Parsing,JSON,Básico,Aplicación,Caso práctico: un estudiante necesita identificar el elemento que cumple esta función: json. ¿Cuál es?,APK,Formato ligero de intercambio de datos común en APIs REST.,Lenguaje usado para estilos visuales de una interfaz web.,CSV,YAML,B,Formato ligero de intercambio de datos común en APIs REST.,Corresponde a Formato ligero de intercambio de datos común en APIs REST.: JSON,PIAD-525_CONTENIDO.pdf,https://www.tensorflow.org/js,"json,api"
680,Diseño y Desarrollo de Aplicaciones Móviles,4,JSON Parsing,JSON,Intermedio,Reconocimiento,Caso práctico: un estudiante necesita identificar el elemento que cumple esta función: json. ¿Cuál es? (Tema: JSON Parsing),Protocolo de red de largo alcance y bajo consumo usado en soluciones IoT.,Formato ligero de intercambio de datos común en APIs REST.,Gradle,Circuito integrado programable que controla entradas y salidas en sistemas embebidos.,Bloque reutilizable de interfaz en React que puede recibir props y manejar estado.,B,Formato ligero de intercambio de datos común en APIs REST.,Corresponde a Formato ligero de intercambio de datos común en APIs REST.: JSON,PIAD-525_CONTENIDO.pdf,https://www.tensorflow.org/js,"json,api"
681,Diseño y Desarrollo de Aplicaciones Móviles,4,Publicación Android,Google Play Console,Básico,Relación,¿Qué concepto se define como: «Google Play Console»?,"Plataforma para registrar, configurar y publicar aplicaciones Android en Google Play.",Herramienta que permite ejecutar y probar una app Android sin usar un dispositivo físico.,Docker Hub,Ataque que inyecta scripts maliciosos en páginas vistas por otros usuarios.,Versión optimizada de TensorFlow para ejecutar modelos en dispositivos móviles o embebidos.,A,"Plataforma para registrar, configurar y publicar aplicaciones Android en Google Play.","La definición corresponde a Plataforma para registrar, configurar y publicar aplicaciones Android en Google Play..",PIAD-525_CONTENIDO.pdf,https://developer.android.com/,"android,publicacion"
682,Diseño y Desarrollo de Aplicaciones Móviles,4,Publicación Android,Google Play Console,Básico,Reconocimiento,"En el tema de Publicación Android, ¿cuál es la opción correcta para: google play console?","Plataforma para registrar, configurar y publicar aplicaciones Android en Google Play.",Comando que trae cambios del repositorio remoto y los integra localmente.,GitHub,Firebase,Gradle,A,"Plataforma para registrar, configurar y publicar aplicaciones Android en Google Play.","En Publicación Android, el concepto correcto es Plataforma para registrar, configurar y publicar aplicaciones Android en Google Play..",PIAD-525_CONTENIDO.pdf,https://developer.android.com/,"android,publicacion"
683,Diseño y Desarrollo de Aplicaciones Móviles,4,Publicación Android,Google Play Console,Básico,Relación,"Complete la frase: En Publicación Android, ______ se relaciona con google play console",Aplicación web de página única que actualiza vistas sin recargar toda la página.,Solicitud para revisar e integrar cambios de una rama o fork al proyecto principal.,Parte reutilizable de la interfaz o comportamiento dentro de una Activity.,"Entorno de desarrollo usado para escribir, compilar y cargar programas en placas Arduino.","Plataforma para registrar, configurar y publicar aplicaciones Android en Google Play.",E,"Plataforma para registrar, configurar y publicar aplicaciones Android en Google Play.","La palabra que completa la frase es Plataforma para registrar, configurar y publicar aplicaciones Android en Google Play..",PIAD-525_CONTENIDO.pdf,https://developer.android.com/,"android,publicacion"
684,Diseño y Desarrollo de Aplicaciones Móviles,4,Publicación Android,Google Play Console,Básico,Definición,¿Cuál de las siguientes opciones pertenece directamente al tema «Publicación Android» y cumple esta función: google play console?,"Plataforma para registrar, configurar y publicar aplicaciones Android en Google Play.",Bucle usado para repetir instrucciones un número definido de veces.,Lenguaje usado para estilos visuales de una interfaz web.,Tecnología inalámbrica usada para conectar dispositivos IoT a una red local o Internet.,GitHub,A,"Plataforma para registrar, configurar y publicar aplicaciones Android en Google Play.","Plataforma para registrar, configurar y publicar aplicaciones Android en Google Play. cumple esa función dentro de Publicación Android.",PIAD-525_CONTENIDO.pdf,https://developer.android.com/,"android,publicacion"
685,Diseño y Desarrollo de Aplicaciones Móviles,4,Publicación Android,Google Play Console,Intermedio,Relación,"Si en un examen preguntan por google play console, ¿qué alternativa debes marcar?",Android Studio,"Plataforma para registrar, configurar y publicar aplicaciones Android en Google Play.",Firebase,Formato ligero de intercambio de datos común en APIs REST.,Protocolo de red de largo alcance y bajo consumo usado en soluciones IoT.,B,"Plataforma para registrar, configurar y publicar aplicaciones Android en Google Play.","La alternativa correcta es Plataforma para registrar, configurar y publicar aplicaciones Android en Google Play..",PIAD-525_CONTENIDO.pdf,https://developer.android.com/,"android,publicacion"
686,Diseño y Desarrollo de Aplicaciones Móviles,4,Publicación Android,Google Play Console,Básico,Reconocimiento,¿Qué término técnico se asocia mejor con la siguiente idea: google play console?,Comando que envía commits locales a un repositorio remoto.,Archivo con instrucciones para construir una imagen Docker.,GitHub,Android Studio,"Plataforma para registrar, configurar y publicar aplicaciones Android en Google Play.",E,"Plataforma para registrar, configurar y publicar aplicaciones Android en Google Play.","El término técnico asociado es Plataforma para registrar, configurar y publicar aplicaciones Android en Google Play..",PIAD-525_CONTENIDO.pdf,https://developer.android.com/,"android,publicacion"
